shop_id,shop_name,latitude,longitude,route_id,date_created
b6f75a09-967e-4ea6-bc52-c3558e315a2a,Mama Roy Shop Riat ,-0.0404017,34.761505,14fb3f97-caa7-45ff-a17d-5e1f81baeed0,2026-06-05 11:02:59.248000+00:00
62cd5109-332a-4bd2-a856-337c8b650bc4,zull mario,-1.294135,36.8445317,f6c0d941-bf97-405a-bf6b-71256c335dcb,2026-06-05 08:52:59.328000+00:00
465b2a49-1137-48fc-b34d-124fd33fb9b0,Kamama Ness Shop Kianja,-0.0401129,34.8070561,14fb3f97-caa7-45ff-a17d-5e1f81baeed0,2026-06-05 06:33:07.356000+00:00
246645db-53d2-4c67-9d72-e803d5be27af,Cooperative Shop Athi-River,-1.4357408,36.982994,7bb8f200-13b3-43fd-ae21-81b981584b2b,2023-03-28 06:32:22.164000+00:00
6d1dbbd9-053e-4aa5-8fca-609038646f3c,Nya Gem general shop near royal,-1.2504442,36.9316848,ce2b2b3b-39ce-482f-bbe0-4858c09028b0,2026-06-04 08:43:09.735000+00:00
dc6ba0dc-7202-4e8b-9596-5048da01444b,Mama Sharon's Shop vispa,-0.1158907,34.7863918,594f7579-5cae-40e9-967e-73867d5ad334,2026-06-03 11:20:34.996000+00:00
f9b07a45-b194-4b4e-a758-2ca62916c23b,Joyka Traders County,-1.2333183,36.9840883,be3557d6-7d12-4a10-a406-191541374e18,2019-11-01 08:57:02.752000+00:00
3224f219-327d-445f-bfab-fa6a1122295f,Pagam shop Sagor.,-1.28486,36.8968751,08b2bccd-e7c0-46d4-9beb-746ad7cd6de7,2020-02-12 06:29:45.115000+00:00
8ea0634d-434c-41e3-ad84-1bda8d17d44e,Digital shop Nguluni,-1.2790633,37.2824867,6c7a24a9-925c-468d-b106-19ecbe23e04c,2021-07-27 11:41:33.523000+00:00
801defe7-de5e-4f29-aff8-0204cd8cc602,Amen  Gen. Infinity near county.,-1.2356783,36.97968,be3557d6-7d12-4a10-a406-191541374e18,2022-03-27 07:06:44.461000+00:00
912e821b-8a24-4ba3-a967-4c69367a7372,veelius kamakis,-1.1696098,36.9810653,21bf95d8-275d-4a56-904d-9864b87bed0c,2025-11-27 06:46:01.560000+00:00
95ccc24b-b572-4dea-9983-2c1467920848,Utonyi shop Athi-River sokoni ,-1.449694,36.97975,5ee6a28b-54bc-44ae-b8d6-b5fb6d6d91f3,2026-05-13 08:47:50.789000+00:00
69e474e9-3d58-4b6d-8ec1-a46015cb2b48,Sam Hotel Syokimau DC gate,-1.3716717,36.9197633,58346854-846d-4eb8-b550-7974a704a183,2026-05-25 08:07:19.982000+00:00
0f7186e9-3da4-4534-973a-2ab7a62bf21c,Quick pick gen kimani road ,-1.3928659,36.7315659,e26f7e87-5356-4e56-b7aa-5c37cb04635f,2026-06-03 09:53:18.626000+00:00
b0c0d6e7-3667-4d43-a10e-e844da3a3155,Gen8 shop,-1.2003361,36.6550569,844e7c02-569f-4572-bb58-e4a0c8bfd6ad,2026-06-03 10:36:36.610000+00:00
276ce1dc-50ab-41c0-9f3e-8a724d7bc511,ESA MINI MART JUJO,-1.2796994,36.9480003,6a9cfdbb-6da0-4a76-a28d-40121cce78bb,2026-06-03 08:26:51.932000+00:00
33267070-3ce9-4095-bc17-a51b878683fa,AHADI GEN. SHOP church road  ,-1.3926,36.7561436,781c7064-a4b3-4d12-a296-f3e71728e922,2026-06-02 07:57:13.771000+00:00
6f5ea585-88d4-4bab-98ea-9a37310b3d43,Young beginning near syrotech ,-1.2911467,36.9767783,41e901de-4225-4016-8710-ec0036fb4bb9,2026-06-02 08:05:35.818000+00:00
6283ebcf-59e7-4a5e-8c14-924dd5c12973,Wamboi shop near Figgy Kahuho Road,-1.2851511,36.726807,77aa4768-810d-4c2b-8b1e-7d802401e336,2020-11-19 14:28:39.739000+00:00
fa134ea0-d9e5-440a-ace1-e157053c6354,Skyroll shop Usenge,-0.0644533,34.061275,2fb98e42-97da-4707-b9cc-a84ce53c39f9,2026-05-29 14:53:50.466000+00:00
df96b246-a263-4c0f-b967-de1cdc63eb35,faith mwania njunguini ,-1.4569755,36.9885696,5ee6a28b-54bc-44ae-b8d6-b5fb6d6d91f3,2026-05-29 07:54:37.319000+00:00
af3306df-fa10-4973-9595-5115b2314264,Dl cereals shop ,-1.199455,36.9246503,cd318fe6-b8ba-49d3-bda6-40361f55de57,2026-05-29 08:14:16.446000+00:00
d9206ef2-6fbf-4f8c-a52d-63774d6778bf,New Tabs retailers near bless Gaby ,-1.2693369,36.9928803,be3557d6-7d12-4a10-a406-191541374e18,2026-05-28 10:22:44.981000+00:00
65e3cbec-272b-45f2-97ec-2baac5a7a6bc,Likoni connectors shop Bondo ,-0.0947249,34.2580508,e3c3490f-0611-4974-8e88-56929196a3d7,2026-05-05 13:01:24.920000+00:00
6ed547bb-1783-4987-b207-00ac18f24a74,Omega Mitaboni,-1.3765481710434,37.2510528564453,a4a42b8d-a290-4fe2-b228-1c639227da93,2019-09-17 11:22:36.399000+00:00
d1cc43e5-29c3-47b1-adc0-fbae793e906b,Blessed Kathiani Next Alba,-1.4120718,37.33201,a4a42b8d-a290-4fe2-b228-1c639227da93,2020-05-02 12:37:19.844000+00:00
b0f8769a-865d-4e34-9bbe-f9f84481e7d0,Nje ya Wisdom Kathiani,-1.4128166,37.331352,a4a42b8d-a290-4fe2-b228-1c639227da93,2020-06-12 10:38:21.946000+00:00
a7573c37-ec34-4f32-80c6-b9068b2706ab,Shop Victorious Kamutiini,-1.2301112,36.919315,8a4d5834-2671-4339-a1b6-3f0466e445fd,2020-08-07 12:20:38.278000+00:00
07be4bef-7f2a-4b4c-95ef-6d60449570bc,Bahati Kenol,-1.3679955,37.226803,a4a42b8d-a290-4fe2-b228-1c639227da93,2022-03-09 07:16:01.737000+00:00
44071151-6326-47d2-8af0-814b9f21828d,Basil Shop Kathiani,-1.4127352,37.3304748,a4a42b8d-a290-4fe2-b228-1c639227da93,2026-03-03 12:46:30.678000+00:00
