delivery_date,order_id,order_date,shop_id,route_plan_id,depot_id,route_id,order_status,amount,weight
2026-01-02,d942ce9b-3074-4181-b3b4-0c47fdadbc24,2026-01-01,b6641eb5-0d64-40fc-b3e6-c937f18f8c71,d43fc01d-9dce-42dc-8d38-71b612765002,ebed2404-4068-4d15-849e-75e578bc4e55,be709a16-5cd9-4c97-b1a0-07b3ff64a7b2,True,1542.0,5.76
2026-01-02,cce482a7-bc87-4ccb-82e5-bce9f6201a47,2026-01-01,e7a18809-7ec4-4d5b-9eeb-c2532964e548,e0ea13f7-733c-408d-9a97-dda826adc56b,67f10a70-7093-47d7-9a5d-17f0f331e584,14a85c48-0d36-4d81-bd65-8b93e24b6a11,True,375.0,0.12
2026-01-02,13c62284-96c0-45c9-813d-3407fe19fc99,2025-12-31,b292106f-90b5-4be1-aa69-83752fd86b32,cba44686-1fab-4f3b-932e-f1030bb59ca5,65f663c4-22e2-43d1-9a03-f6ddbec8cdb2,67fd6b10-68c8-48fd-bf70-0ba07be45e55,True,0.0,0.0
2026-01-02,407b89af-8f15-44e7-95f0-07dba249be24,2025-12-31,abb5bbca-5181-4823-bb46-c9543b13bc85,8a302341-b736-414e-b076-883ee3cef82b,db01133e-0d9c-4898-8812-320f02883291,0ecfa030-8f5f-40cd-b4d5-f7527196b4b9,True,3326.0,13.98
2026-01-02,602a7fac-afd9-4a44-93aa-f4062dd87035,2025-12-31,253fb307-a075-4853-9fb7-0ff1a2660967,e0ea13f7-733c-408d-9a97-dda826adc56b,67f10a70-7093-47d7-9a5d-17f0f331e584,6c2a29a7-5f77-4d25-a5df-72ecb2333849,True,5313.0,48.8
2026-01-02,6b3c31d8-3346-457b-8b11-f15072e836e5,2025-12-31,15c15663-b6cb-4d4d-ab13-91f247fe4374,a08bd0ab-c72d-4c5a-874c-f94d9ec896a9,5b2d745a-c125-432c-93ca-fb629957e2d4,d183d751-718b-4938-80b7-f13883674439,True,8465.0,71.0
2026-01-02,a0bf1655-766c-40a2-b654-33c2b25c94c0,2025-12-31,842b7a52-50a6-4be4-9eec-a36b757c8e72,995dd2d2-369f-40ed-b62f-330d6bdc24f0,ebed2404-4068-4d15-849e-75e578bc4e55,41e901de-4225-4016-8710-ec0036fb4bb9,True,4726.0,57.6
2026-01-02,d1c615d1-dab3-4cb8-9faa-ac9d88501599,2025-12-31,a640bbae-1174-4e45-ad57-bff5274f806f,8a302341-b736-414e-b076-883ee3cef82b,db01133e-0d9c-4898-8812-320f02883291,7bb8f200-13b3-43fd-ae21-81b981584b2b,True,6173.0,55.19999999999999
2026-01-02,df05b031-a9d8-46e2-a489-b9e2ccf4c77b,2025-12-31,18a849a8-ae4b-4586-be06-9a757684c209,ba6ab9fd-c334-40ee-a914-057d32e3fc51,f718def1-1fd1-4bfb-8f89-fb37d5bd2be8,f70c8ef2-5b0a-4aed-82ab-c233eefde338,True,469.0,4.2
2026-01-02,002d688b-4acc-4dcf-935b-7937abb457c9,2026-01-01,aaaee1cb-bce9-4b35-b763-445acbb8d3bd,60b91912-c340-4045-ace6-ce99f7f58edf,67f10a70-7093-47d7-9a5d-17f0f331e584,361537d4-fe12-4101-bd0c-35d7b57a96b6,True,3458.0,48.0
2026-01-02,103e06e1-615a-4298-b775-a058dea8e585,2026-01-01,7d26f562-ef05-401b-a4c4-43449abe0b97,829efa4e-13fa-477a-bd8e-df2a190fc20f,5b2d745a-c125-432c-93ca-fb629957e2d4,8241bfaf-206a-4ca5-b9dc-5af2baf9a2fa,True,7203.0,27.55
2026-01-02,c7493546-8e5c-459b-9d51-491079a0aac5,2026-01-01,59fb3ccf-1299-4af8-910a-73308eeb81df,030e637c-2785-48a6-9d72-0ca663b3457d,f80fee38-9a1a-4191-90f5-153687255446,2c3d618a-c018-44a3-ad03-905667cab539,True,578.0,2.5
2026-01-02,be77acfd-1897-4f34-9c8a-c5f256661f55,2026-01-01,bd0b0140-358b-4520-bd1d-54f7cfc21913,e0ea13f7-733c-408d-9a97-dda826adc56b,67f10a70-7093-47d7-9a5d-17f0f331e584,6c2a29a7-5f77-4d25-a5df-72ecb2333849,True,395.0,0.72
2026-01-02,b6dab6f3-932c-4d0a-9c60-99ca71820bc4,2026-01-01,bdfd612a-c5c6-4854-8e0d-f83372b17914,e002de38-d8c6-424e-821e-7505149aeb7e,67f10a70-7093-47d7-9a5d-17f0f331e584,4a10003b-f1ff-4e4a-93ed-30346459b417,True,2013.0,8.52
2026-01-02,b029e7f7-a564-4ffe-a9d5-c3d1ad4ce5b0,2026-01-01,fb03d6d6-989c-4d5f-ac64-54d3623a9116,cd8192be-5f84-443b-ad95-47defa5dc197,2da4f36b-0634-4616-8649-c74f1b7f9ae6,d999c856-a2e9-4563-826c-b06027be365b,True,45490.0,200.0
2026-01-02,a9111c37-6948-40e3-964e-144d18135bf0,2026-01-01,f0f0e48a-aca6-47b3-b000-91810239960b,ed1c58c5-5696-4559-ab05-603dc5b85e3c,f718def1-1fd1-4bfb-8f89-fb37d5bd2be8,2676099c-2999-4d7f-bad7-c8b601c5693f,True,6448.0,44.0
2026-01-02,a3503a01-8740-4873-a9b4-1df63881a302,2026-01-01,d3b5ab26-8951-4ce1-8a78-a9fa8992a690,d43fc01d-9dce-42dc-8d38-71b612765002,ebed2404-4068-4d15-849e-75e578bc4e55,09455434-79c9-42f5-a7a7-c87c236436d2,True,7798.0,53.96
2026-01-02,92d4eb60-389e-498b-ada6-0c3e2f4552df,2026-01-01,5a02219d-c4cc-4639-9811-31ae86b5e2d7,792f6ced-e7c6-4d00-9f03-6c18fbec8283,ebed2404-4068-4d15-849e-75e578bc4e55,fc39aa9f-28a7-4ce0-ae9e-ac8d7b45df2c,True,3069.0,11.44
2026-01-02,8ee733e9-139e-46fd-8c61-86d303ed8ce9,2026-01-01,0871d2ee-f6e2-4436-aabf-880b9227dd86,cd7d7326-ef20-4d34-94e4-d1af528e8f09,db01133e-0d9c-4898-8812-320f02883291,85127729-ee1e-420e-9469-28dfeb2942ac,True,6875.0,35.72
2026-01-02,81a99443-6d60-41fc-b27d-89efa689f2ac,2026-01-01,6895589a-51cd-49ff-8323-d7f79a7c4954,ed1c58c5-5696-4559-ab05-603dc5b85e3c,f718def1-1fd1-4bfb-8f89-fb37d5bd2be8,37b26b39-09b2-4b25-aec8-50e073b2c3ff,True,8459.0,59.44
2026-01-02,795e70f4-d240-4ba5-b23b-2dc992550767,2026-01-01,ca89d4f5-907d-4d08-a4f5-ef091abe0501,33cfd25f-71fa-4c15-bf29-a044dcb7ec5f,790ee6ba-e7d5-4743-ac10-e88636792a60,3ab9513e-a694-4ac4-b2ca-73e58592fe48,True,3457.0,38.9
2026-01-02,542523de-50ee-4c0f-a695-6bfbebf1748e,2026-01-01,41ce3b15-875b-4498-ab34-f154d3a4a12b,d43fc01d-9dce-42dc-8d38-71b612765002,ebed2404-4068-4d15-849e-75e578bc4e55,09455434-79c9-42f5-a7a7-c87c236436d2,True,5250.0,39.00999999999999
2026-01-02,fc9f6309-dec1-45cb-8d69-4795ee584d59,2026-01-01,1fa10c1c-4c24-4f22-b504-f9df1c7a8b54,995dd2d2-369f-40ed-b62f-330d6bdc24f0,ebed2404-4068-4d15-849e-75e578bc4e55,6a9cfdbb-6da0-4a76-a28d-40121cce78bb,True,2269.0,10.0
2026-01-02,fac91c38-b7bd-47cd-a32e-777cb9c3d551,2026-01-01,57f12c5a-420b-499b-bc9b-7a578b6294c1,d43fc01d-9dce-42dc-8d38-71b612765002,ebed2404-4068-4d15-849e-75e578bc4e55,09455434-79c9-42f5-a7a7-c87c236436d2,True,5283.0,84.4
2026-01-02,f47cc1af-85d1-463f-8ea9-32322af664c1,2026-01-01,8a5513fd-cc48-4416-ad4c-4a1fedc41f09,33cfd25f-71fa-4c15-bf29-a044dcb7ec5f,790ee6ba-e7d5-4743-ac10-e88636792a60,6df6b35d-fe12-4c80-84ab-5ac841d21bbe,True,14544.0,84.4
2026-01-02,fc4e27d0-fd2b-48ef-a1ec-7341724ff6c6,2026-01-01,a59f65cd-b983-46f7-9c65-e5d9ff8bc201,792f6ced-e7c6-4d00-9f03-6c18fbec8283,ebed2404-4068-4d15-849e-75e578bc4e55,662778e9-ef6b-4d6e-8a62-620671f0bdaa,True,6880.0,45.6
