vehicle_id,registration_number,load_capacity,route_id,active,depot_id
7761bb65-a226-4a1a-8198-328f6f886dfb,KDH 265A,4500.0,f70c8ef2-5b0a-4aed-82ab-c233eefde338,True,f718def1-1fd1-4bfb-8f89-fb37d5bd2be8
b52d4c7f-884e-417c-914c-0f6acca7e1af,KDH 217W,10000.0,,True,
bccce7ff-0f88-4ffb-805f-5a394a10b5d7,KCR 583S,2750.0,6c2a29a7-5f77-4d25-a5df-72ecb2333849,False,67f10a70-7093-47d7-9a5d-17f0f331e584
f4266a01-c4de-47ed-8227-55762a1687f3,KCR 202J,3500.0,0ac677dd-a5c4-4562-a7db-9ffab1102a25,False,bdc9719c-5f6b-42e6-b89b-a37e15635b35
c425664c-66ea-4044-9821-7995f1abe9c5,KCY 885W,3850.0,f125ff7a-0550-46d2-a873-42491a74e188,False,bdc9719c-5f6b-42e6-b89b-a37e15635b35
6d719205-38fc-4faf-a454-e58a35b15ad0,KCP 184E,2750.0,e82413f7-9823-4f5d-83c8-0ff13c03b4f2,False,67f10a70-7093-47d7-9a5d-17f0f331e584
e2628cbf-375e-4324-9d5a-62fc49cc9998,KCV 972Z,3850.0,1af5573b-2a80-44b7-a1d7-d54196bff007,False,5b2d745a-c125-432c-93ca-fb629957e2d4
73d961cc-919c-4b00-8ec3-2868a1396f6f,KCS 024U,5000.0,743d404e-d082-4bcd-b88c-772c49a5d526,False,bab6f582-f960-4933-ba2e-20cfa1a09073
883501f2-f5ea-4f23-9237-2d5827468d34,KDB 608V,3500.0,1f01ed41-efdd-47d8-a9e1-aae3e8f95884,False,67f10a70-7093-47d7-9a5d-17f0f331e584
8179c73a-5591-4c82-a516-6e0b4a4f0ca0,KCQ 260U,2500.0,0b787305-2e5a-4aa4-8ccf-fa7f65b2bb1f,False,2da4f36b-0634-4616-8649-c74f1b7f9ae6
3951fccf-64cf-4236-9f72-aaa8d7871b8c,KCJ 088t,4500.0,21bf95d8-275d-4a56-904d-9864b87bed0c,False,21ee323a-6149-4310-908e-74a72cd6cb09
65634f7a-ca9b-4793-9095-ddf82ac0eebe,KBN 692W,2750.0,361537d4-fe12-4101-bd0c-35d7b57a96b6,False,67f10a70-7093-47d7-9a5d-17f0f331e584
de495f90-38c9-457d-82d6-452b21262918,KBP 913M,3500.0,4692a22f-1ff0-44fb-a028-a9956601d079,False,db01133e-0d9c-4898-8812-320f02883291
4ed8f5a4-1fd9-4509-88a7-fee5e6f3bf20,KCH 236L,28000.0,,False,
581cead7-c514-420e-8998-bec62a80742a,KBR 548P,3500.0,63738e51-d524-4445-96d7-a048aa99f2ea,False,f718def1-1fd1-4bfb-8f89-fb37d5bd2be8
0c6ee291-3720-4668-befa-74ddf02ae4b9,KCK 042N,3000.0,7bb8f200-13b3-43fd-ae21-81b981584b2b,False,db01133e-0d9c-4898-8812-320f02883291
a86a281a-8969-4551-9a01-5f5b5d9ed382,KCC 774S,3850.0,2403d825-af78-4736-8347-56507421a003,False,67f10a70-7093-47d7-9a5d-17f0f331e584
0836c47a-95b1-4bd4-b483-7ac1bb91c948,KBV 259U,10000.0,f41018cb-dec9-42ff-93de-01480927fa8d,False,65f663c4-22e2-43d1-9a03-f6ddbec8cdb2
96cc8898-f0ec-4fda-a278-fe9859366bc7,KCW 201W,3500.0,6c7a24a9-925c-468d-b106-19ecbe23e04c,False,ebed2404-4068-4d15-849e-75e578bc4e55
3328462d-6537-45bf-9425-3b34cd438110,KDC 459R,3500.0,148f8c6b-2d1e-4684-87cd-71b439b46440,False,bab6f582-f960-4933-ba2e-20cfa1a09073
ac7c836b-cbfe-490a-973a-0b7639b9460e,KCZ 084H,15000.0,,True,
41b047cc-4034-416e-b61c-ce51bdf24a28,KDB 260t,2750.0,58346854-846d-4eb8-b550-7974a704a183,False,db01133e-0d9c-4898-8812-320f02883291
26b597f6-9a26-4467-a3c0-6a8322ba8fd5,KCJ 289U,7000.0,4451f4a8-1872-4490-953d-d7042ff18735,False,f718def1-1fd1-4bfb-8f89-fb37d5bd2be8
f1494ae5-8f11-4993-beb1-899849d150d0,KBT 827A,10000.0,,True,
6b93d1b2-6095-4358-96b4-5d31eee67aca,KDA 873Y,5000.0,08b2bccd-e7c0-46d4-9beb-746ad7cd6de7,False,f80fee38-9a1a-4191-90f5-153687255446
e8a7f789-e866-4bb7-ae32-c2329c97e174,KDH 021B,3000.0,8da9b2a4-30aa-4717-a708-f8416d780e44,False,db01133e-0d9c-4898-8812-320f02883291
9e61666c-3d1f-4e77-a078-e241e8c21bef,KDA 963R,2500.0,a3c4d7e9-b7b9-494b-904c-40feec7fb90a,False,bdc9719c-5f6b-42e6-b89b-a37e15635b35
f65d7563-46c1-43b1-ba9d-90fbbb0b3590,KBY 224B,2000.0,a6648784-f04c-4e3b-b649-1f6daab1d8c7,False,f80fee38-9a1a-4191-90f5-153687255446
1f26dcf8-03f2-498e-bb4d-c9823dd7db59,KCD 945N,10000.0,,False,
dbb82a8d-0494-42d2-95b1-5a0b11a57390,KCG 775G,5000.0,1e4dfe87-f6e9-4788-a27f-b6bb85886722,False,bdc9719c-5f6b-42e6-b89b-a37e15635b35
45fcaf6f-5b67-460b-a414-5677cea06436,KCE 406Z,4500.0,7e679ce3-f235-4d90-b217-757c5284a78b,False,91439a00-7c10-435f-97da-31b88c39112e
2440c207-ef81-471e-9477-01f8dcbe91f2,KDJ 594S,4500.0,2a13244e-6d77-4f72-9e5d-b67b4bc9d14d,True,65f663c4-22e2-43d1-9a03-f6ddbec8cdb2
3d59e80a-3155-40fe-889d-e75e7de40b67,KDH 431Z,8500.0,fc39aa9f-28a7-4ce0-ae9e-ac8d7b45df2c,False,ebed2404-4068-4d15-849e-75e578bc4e55
c866c2de-35fd-4d3e-9958-7ae348cdf0f7,KBK 940C,3000.0,148f8c6b-2d1e-4684-87cd-71b439b46440,False,bab6f582-f960-4933-ba2e-20cfa1a09073
21560cad-556e-401a-8377-5b70c3413d58,KBQ 904A,3500.0,95e538a3-a232-4a80-9419-fa575d0de857,False,67f10a70-7093-47d7-9a5d-17f0f331e584
8c78b923-8f89-44ef-9f8b-3474024f896a,KCQ 025h,5000.0,51264b3c-d33f-4bc1-8037-d9108c6c2564,False,db01133e-0d9c-4898-8812-320f02883291
3ccc4dc9-97bb-49f7-a77d-a5e009ffad6d,KBR 213S,10000.0,,True,
906c60a8-32ae-4268-9f3d-990a74e91c92,KAK 994J,3800.0,f61308cd-0ca5-4159-8df0-abb82a62bb23,False,6fbe0a9a-f523-4bce-a12f-a98b9bec32ab
cf2b1e1c-6e1a-4cfe-b8cc-057e2c48c8f2,KCP 311C,3000.0,7c24a15d-10cd-48e0-a939-f9704f02058d,False,f80fee38-9a1a-4191-90f5-153687255446
7408e1cc-d289-4106-99a8-b2f2e33cf87c,KBQ 304H,3500.0,f760752d-79fe-442a-b2c1-322af4e5e422,False,bab6f582-f960-4933-ba2e-20cfa1a09073
cb620b12-e786-406f-85c3-ac7c5a194be6,KDB 051K,5000.0,b64fc5cb-e6d4-467a-b7d7-2a89f4ea7546,False,f80fee38-9a1a-4191-90f5-153687255446
a685ddbb-9627-428c-a60c-5d31da5444e5,KDD 226Y,10000.0,,True,
51d05947-22c7-4589-a4e9-e606480b12f4,KCU 410a,6000.0,1edeff41-5bdb-4f7c-9647-7b873abe26e1,False,f80fee38-9a1a-4191-90f5-153687255446
ca3f47f5-5710-474e-887f-0586da8a00dc,KCR 380A,4500.0,361537d4-fe12-4101-bd0c-35d7b57a96b6,False,67f10a70-7093-47d7-9a5d-17f0f331e584
b75a7f99-685c-49df-896d-8ea44e9b50d7,KBY 776v,3850.0,361537d4-fe12-4101-bd0c-35d7b57a96b6,False,67f10a70-7093-47d7-9a5d-17f0f331e584
f56f38d6-1612-492b-b271-3d5fa80c774f,KCJ 271U,5000.0,f807f4ed-568c-4d3d-8a0d-e29ceadd7f00,False,36aab551-1b63-4794-a827-d58b95d16556
18157f12-0f94-4dca-ae74-17fa9f13445b,KBZ 110G,3850.0,1c9cfc41-e3e9-4d1f-b574-c5eb9ee7c123,False,2da4f36b-0634-4616-8649-c74f1b7f9ae6
c836caa7-891b-422f-8148-88ed3e65cda5,KCZ 999Z,3800.0,4835cd9a-2886-41f5-ba9a-471ef0e0aa22,False,5b533901-0623-4f78-bace-9f677c1f459b
7285d447-b9b0-48f6-a500-cc5ee495bfd4,KBX 037V,2750.0,7c24a15d-10cd-48e0-a939-f9704f02058d,False,f80fee38-9a1a-4191-90f5-153687255446
1f9ee032-2968-4f17-a515-15503b3530c3,KCM 701N,7000.0,b26254ef-ab22-4c03-81f0-f219e94f395d,False,fc40a266-519a-409f-a66c-f991a724ae90
25da964c-227a-4b91-b94a-0ee577026c5d,KDL 263W,5000.0,76702653-23de-4370-b7ff-e5aafaee24a6,False,ebed2404-4068-4d15-849e-75e578bc4e55
