route_id,route_name,depot_id
535eba0c-2cdf-4387-be3f-114bf337f94e,Sojpar test,cfb8d4a0-1784-4c86-a234-f6326643faec
01c21e71-5534-4a22-b3fa-9a3a04845990,Nyalenda – Sojpar,cfb8d4a0-1784-4c86-a234-f6326643faec
ad52851f-7f97-4186-a2e5-f9fae9249948,BuruBuru,67f10a70-7093-47d7-9a5d-17f0f331e584
f6c0d941-bf97-405a-bf6b-71256c335dcb,Jogoo Road 1,67f10a70-7093-47d7-9a5d-17f0f331e584
1f01ed41-efdd-47d8-a9e1-aae3e8f95884,Jogoo Road 2,67f10a70-7093-47d7-9a5d-17f0f331e584
95e538a3-a232-4a80-9419-fa575d0de857,South B,67f10a70-7093-47d7-9a5d-17f0f331e584
f5cb750d-b5c5-4c3f-8221-a83bbbff3fb7,Donholm 1,f80fee38-9a1a-4191-90f5-153687255446
d7be2f4e-f98e-458d-aef4-b8e6faa6a3ab,Donholm 2,f80fee38-9a1a-4191-90f5-153687255446
f7739eb8-2626-4e52-98d8-1ff417b35a39,Kayole 1,f80fee38-9a1a-4191-90f5-153687255446
1f1a9a88-caa7-45d5-b878-f2f9118a5d1d,Kayole 2,f80fee38-9a1a-4191-90f5-153687255446
662778e9-ef6b-4d6e-8a62-620671f0bdaa,Fedha Tel Aviv,ebed2404-4068-4d15-849e-75e578bc4e55
4c2cad0f-1672-4ad7-a915-c94f5e8424ca,Tassia,ebed2404-4068-4d15-849e-75e578bc4e55
7aead0f3-cef4-42c1-ba36-be6d3fcd7688,Imara,ebed2404-4068-4d15-849e-75e578bc4e55
09455434-79c9-42f5-a7a7-c87c236436d2,Pipeline,ebed2404-4068-4d15-849e-75e578bc4e55
fc39aa9f-28a7-4ce0-ae9e-ac8d7b45df2c,Embakasi Village Kabansoora,ebed2404-4068-4d15-849e-75e578bc4e55
361537d4-fe12-4101-bd0c-35d7b57a96b6,Industrial Area,67f10a70-7093-47d7-9a5d-17f0f331e584
08b2bccd-e7c0-46d4-9beb-746ad7cd6de7,Umoja 2/3,f80fee38-9a1a-4191-90f5-153687255446
b64fc5cb-e6d4-467a-b7d7-2a89f4ea7546,Tena/Umoja 1 Innercore,f80fee38-9a1a-4191-90f5-153687255446
6a9cfdbb-6da0-4a76-a28d-40121cce78bb,Utawala,ebed2404-4068-4d15-849e-75e578bc4e55
58346854-846d-4eb8-b550-7974a704a183,Syokimau,db01133e-0d9c-4898-8812-320f02883291
b57fafb9-d964-47cb-bbe1-162c1d4f2b2a,Embakasi Depot,ebed2404-4068-4d15-849e-75e578bc4e55
5e963a0b-7c1d-40d8-89a1-968081d9b1b4,Embakasi-Outer mkt.,ebed2404-4068-4d15-849e-75e578bc4e55
5a59dee1-6f9b-4bfe-993f-a5a2882d0d4a,Kaloleni-Outer mkt.,67f10a70-7093-47d7-9a5d-17f0f331e584
