depot_id,depot_name,latitude,longitude
bdc9719c-5f6b-42e6-b89b-a37e15635b35,Eldoret,0.516489,35.2863627
fd74587d-932d-40db-a5ee-20a5d1a620c1,Embu,,
67f10a70-7093-47d7-9a5d-17f0f331e584,Nairobi Central,-1.138533,36.9109095
21ee323a-6149-4310-908e-74a72cd6cb09,Thika Town,-1.1385584,36.9109059
6c8821b8-655f-4851-81cd-5ee0dfbdc9a7,Nairobi West,-1.348712,36.898217
6fbe0a9a-f523-4bce-a12f-a98b9bec32ab,Tech-Depot-Kisumu,-0.078823,34.755891
6e97782e-7619-492b-be1d-648ad708361c,Meru,,
df7e39a7-356f-427b-a247-4806164db493,Waiyaki Way,-1.2484016,36.6733784
65f663c4-22e2-43d1-9a03-f6ddbec8cdb2,Machakos,-1.138533,36.9109095
0b418128-daf5-4149-86fd-97eb4ad608bb,Gilgil,,
73b09398-3137-448a-935d-998901820c41,Western Fresh,0.517619,35.285904
41725917-d03f-46f6-b43d-f3c776472308,Karatina,,
ef9742f1-3e0a-4f2e-9ef8-b37e294a3a8c,Mombasa Fresh,-1.348712,36.898217
9ec232d6-0ae6-4673-a91e-e95bbf910350,Kakamega,-0.086833,34.759889
702ac963-e29f-4a52-adb3-fd03adef8fc9,Nakuru,-0.304025,36.141819
f718def1-1fd1-4bfb-8f89-fb37d5bd2be8,West Nairobi,-1.138533,36.9109095
790ee6ba-e7d5-4743-ac10-e88636792a60,Kiambu,-1.1385584,36.9109059
a4cb6f06-1011-43f4-93fe-d5270f855bd0,Isiolo,,
f80fee38-9a1a-4191-90f5-153687255446,Eastlands,-1.1385584,36.9109059
3bf331c8-653a-4837-a3b4-db1f8bc99531,Market Depot,-1.349789,36.897922
30df1728-c777-4f5f-8789-4f80d6b9c44e,Westlands,,
2da4f36b-0634-4616-8649-c74f1b7f9ae6,Rongai,-1.138533,36.9109095
36aab551-1b63-4794-a827-d58b95d16556,Key Accounts,-1.138533,36.9109095
31e20bce-0e08-4782-aa19-ca55e4cb548e,Kelvin's Depot,,
5b2d745a-c125-432c-93ca-fb629957e2d4,Kahawa,-1.1385584,36.9109059
f8b13926-9745-4158-a3ab-492e31a3f23a,Mombasa,-4.008973,39.60073
cfb8d4a0-1784-4c86-a234-f6326643faec,Sojpar-Kisumu,,
964e854f-07df-4cdb-b87c-2d16391f724c,Kampala,0.307073,32.615724
287570cb-a2d0-4bb8-bede-11ad462bc65a,Taveta,-3.484016,37.755632
fc40a266-519a-409f-a66c-f991a724ae90,Kisii,-0.6621768,34.7626383
2dcc2ff1-0e11-4065-802a-6fba0611e9e2,Rongai 2,-1.399417,36.739472
a8e26433-727f-4088-b18a-2ce2a4c79793,Nyeri,,
91439a00-7c10-435f-97da-31b88c39112e,Kitale,,
db01133e-0d9c-4898-8812-320f02883291,Syokimau,-1.138533,36.9109095
5b533901-0623-4f78-bace-9f677c1f459b,Tech-Depot,-1.184063,36.908313
bab6f582-f960-4933-ba2e-20cfa1a09073,Kisumu-old,-0.0899,34.764427
3259d09a-a825-4e53-ab3f-657d1c415eb0,Warehouse,-1.348712,36.898217
6f1740ea-39cd-4313-ac5d-a34bbc031924,Nairobi Fresh,,
d0942a2d-b02d-4dae-ace5-5012f8f560e4,Buruburu,,
5d6a3321-df4a-49b1-a1f4-038649656d30,Valley Arcade,,
ebed2404-4068-4d15-849e-75e578bc4e55,Embakasi,-1.138533,36.9109095
